,country,article_name,revision_id,article_quality,population
0,Algeria,Template:Algeria-politician-stub,544347736,Stub,42.7
1,Algeria,Template:Algeria-diplomat-stub,567620838,Stub,42.7
2,Algeria,Template:AlgerianPres,665948270,Stub,42.7
3,Algeria,Ali Fawzi Rebaine,686269631,Stub,42.7
4,Algeria,Ahmed Attaf,705910185,Stub,42.7
5,Algeria,Ahmed Djoghlaf,707427823,Stub,42.7
6,Algeria,Hammi Larouissi,708060571,Stub,42.7
7,Algeria,Salah Goudjil,708980561,Stub,42.7
8,Algeria,Yazid Zerhouni,711888752,Stub,42.7
9,Algeria,Saad Dahlab,712810569,Stub,42.7
10,Algeria,Naima Farhi,713203530,Stub,42.7
11,Algeria,Mustapha Stambouli,713635313,Stub,42.7
12,Algeria,Rabeh Kebir,721935284,Stub,42.7
13,Algeria,Ali Boumendjel,721981996,Start,42.7
14,Algeria,Mahmoud Cherif,722113361,Stub,42.7
15,Algeria,Abdelhamid Temmar,739114957,Stub,42.7
16,Algeria,Abdelhafid Boussouf,740440784,Stub,42.7
17,Algeria,Abderrachid Boukerzaza,740706219,Stub,42.7
18,Algeria,Mohamed Boudiaf,746646095,C,42.7
19,Algeria,Abderrahmane Farès,746764434,Start,42.7
20,Algeria,Lamine Khene,746936441,Stub,42.7
21,Algeria,Fatima Zohra Karadja,747481177,Start,42.7
22,Algeria,Mhamed Yazid,747720470,Start,42.7
23,Algeria,Rabah Bitat,755092305,Start,42.7
24,Algeria,Mounia Meslem,757615880,Stub,42.7
25,Algeria,Mourad Medelci,757817902,Start,42.7
26,Algeria,Tahar Touati,760143034,Start,42.7
27,Algeria,Mohamed Ben Ahmed Abdelghani,764203869,Stub,42.7
28,Algeria,Omar Oussedik,766079623,Start,42.7
29,Algeria,Mohamed Salah Dembri,766231134,Stub,42.7
30,Algeria,Fatiha Boudiaf,766231159,Start,42.7
31,Algeria,Mohamed Boudia,766231165,Start,42.7
32,Algeria,Ahmed Tewfik El Madani,767405413,Stub,42.7
