zip_code,total,retired,disabled,widowers_parents,spouses,children,amount_all_beneficiaries,amount_retired,amount_widowers,old_beneficiaries,state,amount_per_beneficiary
35013,35,15,5,5,5,5,33,20,5,20,Alabama,0.9428571428571428
35016,4400,2745,840,325,145,345,5087,3468,370,2945,Alabama,1.1561363636363637
35031,2040,1180,425,150,85,200,2273,1473,168,1290,Alabama,1.1142156862745098
35049,910,570,165,60,40,75,1089,752,71,610,Alabama,1.1967032967032967
35079,2045,1160,455,170,70,190,2557,1614,206,1265,Alabama,1.2503667481662593
35097,550,300,120,45,25,60,665,408,56,350,Alabama,1.209090909090909
35121,3985,2445,785,300,150,305,4689,3179,343,2670,Alabama,1.1766624843161857
35133,1030,600,225,80,40,85,1284,837,91,655,Alabama,1.2466019417475729
35175,1305,810,265,90,50,90,1579,1078,98,880,Alabama,1.2099616858237547
35747,1495,930,310,85,60,110,1749,1184,95,965,Alabama,1.1698996655518394
35950,4315,2530,885,345,135,420,4803,3195,378,2735,Alabama,1.1130938586326766
35951,2745,1510,635,225,95,280,3009,1854,247,1660,Alabama,1.0961748633879782
35956,2215,1295,495,165,75,185,2553,1651,187,1410,Alabama,1.1525959367945824
35957,3840,2225,845,320,115,335,4263,2749,347,2450,Alabama,1.11015625
35962,1510,865,355,115,45,130,1612,1035,112,945,Alabama,1.0675496688741721
35964,50,30,10,5,0,5,59,36,4,30,Alabama,1.18
35974,470,280,115,35,15,25,523,346,32,295,Alabama,1.1127659574468085
35976,4625,2985,815,360,135,330,5580,3962,424,3165,Alabama,1.2064864864864864
35980,1095,635,270,65,35,90,1184,764,68,665,Alabama,1.0812785388127855
35010,5590,3270,1435,285,100,500,6644,4356,322,3390,Alabama,1.1885509838998212
35011,535,285,160,35,5,50,636,385,33,310,Alabama,1.188785046728972
35072,1575,790,500,85,35,165,1753,983,81,835,Alabama,1.113015873015873
35089,625,310,200,35,10,70,676,380,32,325,Alabama,1.0816
35136,625,380,160,25,15,45,764,500,35,395,Alabama,1.2224
35183,230,135,60,15,5,15,299,193,17,145,Alabama,1.3
36020,295,175,60,20,5,35,327,220,19,180,Alabama,1.1084745762711865
36022,2490,1500,485,160,85,260,3081,2061,193,1570,Alabama,1.2373493975903616
36024,1660,1070,330,95,40,125,2030,1429,107,1105,Alabama,1.2228915662650603
36025,875,470,195,70,25,115,961,592,76,520,Alabama,1.0982857142857143
36026,355,240,60,20,15,20,440,327,22,250,Alabama,1.2394366197183098
36054,2790,1670,565,190,75,290,3357,2244,230,1755,Alabama,1.2032258064516128
36078,3340,2015,745,200,55,325,3867,2571,223,2075,Alabama,1.1577844311377246
36080,650,440,120,40,15,35,814,585,47,445,Alabama,1.2523076923076923
36092,4720,2845,995,330,100,450,5602,3712,372,2970,Alabama,1.186864406779661
36093,2430,1740,305,120,80,185,3210,2493,162,1775,Alabama,1.3209876543209877
36256,430,270,100,15,10,35,509,346,18,275,Alabama,1.1837209302325582
36850,965,505,295,50,15,100,1027,593,46,540,Alabama,1.0642487046632125
36853,2840,1850,580,130,60,220,3502,2522,147,1930,Alabama,1.2330985915492958
36861,1060,675,250,50,25,60,1342,932,61,680,Alabama,1.2660377358490567
36038,40,25,5,5,0,5,44,32,6,30,Alabama,1.1
36401,2370,1255,630,160,65,260,2523,1524,159,1360,Alabama,1.0645569620253164
36420,3045,1905,620,225,65,230,3366,2330,232,2035,Alabama,1.1054187192118226
36421,2390,1555,455,145,55,180,2814,1987,167,1615,Alabama,1.1774058577405857
36426,4075,2250,910,350,170,395,4732,2941,395,2555,Alabama,1.1612269938650306
36427,500,290,100,45,10,55,576,373,50,330,Alabama,1.152
36432,875,425,250,55,35,110,936,517,55,480,Alabama,1.0697142857142856
36441,1000,550,235,75,55,85,1155,704,84,610,Alabama,1.155
36442,1055,630,240,75,30,80,1083,705,70,675,Alabama,1.0265402843601896
36454,35,25,0,5,0,5,40,29,4,20,Alabama,1.1428571428571428
36455,160,90,45,15,0,10,159,102,14,90,Alabama,0.99375
36467,2960,1820,620,210,70,240,3287,2215,227,1930,Alabama,1.110472972972973
36473,45,30,5,0,5,5,52,40,0,35,Alabama,1.1555555555555554
36474,865,505,185,70,25,80,978,616,77,540,Alabama,1.130635838150289
36475,595,310,150,40,25,70,668,396,44,350,Alabama,1.122689075630252
36476,85,50,15,5,5,10,86,54,7,50,Alabama,1.011764705882353
36483,165,95,30,15,5,20,162,103,12,105,Alabama,0.9818181818181818
36502,3870,2155,870,305,105,435,4274,2683,341,2320,Alabama,1.104392764857881
36504,460,255,110,30,10,55,513,321,39,275,Alabama,1.1152173913043477
35052,35,20,5,5,0,5,38,26,7,30,Alabama,1.0857142857142856
35054,1325,870,230,85,40,100,1729,1249,112,910,Alabama,1.3049056603773586
35112,125,65,35,10,0,15,143,84,12,75,Alabama,1.144
35120,2815,1505,680,220,80,330,3390,2056,271,1630,Alabama,1.2042628774422734
35125,2740,1460,675,240,65,300,3105,1876,279,1610,Alabama,1.1332116788321167
35128,2380,1510,415,170,90,195,3019,2112,226,1645,Alabama,1.2684873949579831
35131,1045,515,285,100,40,105,1176,649,111,590,Alabama,1.1253588516746411
35135,430,260,95,35,10,30,531,344,43,280,Alabama,1.2348837209302326
35146,2400,1585,370,180,95,170,3089,2232,226,1690,Alabama,1.2870833333333334
35182,60,25,20,5,5,5,55,26,7,25,Alabama,0.9166666666666666
35953,2005,1115,460,155,65,210,2371,1472,189,1215,Alabama,1.1825436408977557
35987,720,405,150,55,35,75,793,511,67,455,Alabama,1.101388888888889
36201,4910,2335,1500,425,100,550,4769,2503,410,2610,Alabama,0.9712830957230143
36202,500,265,105,30,10,90,536,340,31,290,Alabama,1.072
36203,4255,2560,855,325,115,400,4784,3138,362,2755,Alabama,1.1243243243243244
36204,155,70,55,10,5,15,153,78,11,80,Alabama,0.9870967741935484
36205,220,150,30,15,10,15,261,189,20,165,Alabama,1.1863636363636363
36206,2695,1565,600,215,85,230,2989,1894,236,1700,Alabama,1.1090909090909091
36207,4755,3105,820,360,150,320,5848,4161,441,3305,Alabama,1.229863301787592
36250,1120,705,220,60,35,100,1275,866,71,740,Alabama,1.1383928571428572
36253,155,105,25,10,5,10,147,102,9,105,Alabama,0.9483870967741935
36254,110,65,30,5,0,10,124,78,6,70,Alabama,1.1272727272727272
36257,105,55,25,15,5,5,122,74,13,65,Alabama,1.161904761904762
36260,990,485,275,65,30,135,1038,559,64,540,Alabama,1.0484848484848486
36261,20,10,5,5,0,0,24,14,2,15,Alabama,1.2
36262,400,215,90,35,15,45,438,262,32,225,Alabama,1.095
36263,160,95,35,10,10,10,178,117,8,110,Alabama,1.1125
