,zip_code,total,retired,disabled,widowers_parents,spouses,children,amount_all_beneficiaries,amount_retired,amount_widowers,old_beneficiaries,state,amount_per_beneficiary,status
161,35223,2095.0,1550.0,70.0,180.0,225.0,70.0,3638.0,2890.0,331.0,1875.0,Alabama,1.7365155131264916,TOP
172,35253,80.0,65.0,5.0,5.0,5.0,0.0,134.0,117.0,9.0,70.0,Alabama,1.675,TOP
44,99571,15.0,15.0,0.0,0.0,0.0,0.0,27.0,24.0,0.0,15.0,Alaska,1.8,TOP
204,99791,15.0,10.0,0.0,5.0,0.0,0.0,28.0,18.0,6.0,15.0,Alaska,1.8666666666666667,TOP
341,85253,3865.0,2970.0,105.0,240.0,430.0,120.0,6533.0,5385.0,438.0,3540.0,Arizona,1.6902975420439845,TOP
348,85262,3545.0,3000.0,100.0,110.0,300.0,35.0,5925.0,5241.0,174.0,3235.0,Arizona,1.6713681241184768,TOP
210,95030,2465.0,1900.0,80.0,165.0,250.0,70.0,4058.0,3332.0,271.0,2270.0,California,1.6462474645030425,TOP
473,92657,1495.0,1170.0,45.0,70.0,165.0,45.0,2550.0,2141.0,120.0,1350.0,California,1.705685618729097,TOP
625,91210,20.0,20.0,0.0,0.0,0.0,0.0,38.0,35.0,0.0,20.0,California,1.9,TOP
712,90210,4280.0,3275.0,105.0,345.0,435.0,120.0,7136.0,5902.0,608.0,3970.0,California,1.6672897196261682,TOP
915,90071,80.0,55.0,10.0,5.0,5.0,5.0,136.0,112.0,4.0,65.0,California,1.7,TOP
939,90067,1235.0,965.0,15.0,130.0,100.0,25.0,2285.0,1897.0,242.0,1190.0,California,1.8502024291497976,TOP
941,90077,1890.0,1485.0,40.0,110.0,205.0,50.0,3268.0,2765.0,199.0,1770.0,California,1.729100529100529,TOP
947,90272,4735.0,3670.0,90.0,340.0,470.0,165.0,8129.0,6739.0,598.0,4395.0,California,1.7167898627243927,TOP
956,90402,2335.0,1815.0,75.0,160.0,220.0,65.0,3937.0,3284.0,263.0,2160.0,California,1.6860813704496789,TOP
1039,92617,340.0,270.0,10.0,10.0,30.0,20.0,595.0,509.0,25.0,305.0,California,1.75,TOP
1125,94022,4005.0,3130.0,95.0,255.0,420.0,105.0,6795.0,5715.0,415.0,3740.0,California,1.696629213483146,TOP
1126,94023,215.0,175.0,5.0,15.0,15.0,5.0,358.0,307.0,24.0,200.0,California,1.6651162790697673,TOP
1127,94024,3985.0,3120.0,95.0,255.0,395.0,120.0,6635.0,5554.0,421.0,3700.0,California,1.6649937264742785,TOP
1138,94301,2865.0,2230.0,125.0,185.0,245.0,80.0,4839.0,4014.0,307.0,2635.0,California,1.6890052356020941,TOP
1140,94304,670.0,450.0,20.0,125.0,60.0,15.0,1144.0,826.0,224.0,630.0,California,1.7074626865671643,TOP
1141,94305,560.0,435.0,10.0,30.0,75.0,10.0,1170.0,1001.0,58.0,540.0,California,2.0892857142857144,TOP
1216,92067,2775.0,2100.0,55.0,200.0,310.0,110.0,4704.0,3864.0,331.0,2530.0,California,1.6951351351351351,TOP
1224,92091,365.0,285.0,10.0,35.0,30.0,5.0,615.0,503.0,61.0,345.0,California,1.6849315068493151,TOP
1302,91436,3290.0,2545.0,115.0,250.0,295.0,85.0,5453.0,4510.0,426.0,3030.0,California,1.6574468085106382,TOP
1317,91105,2990.0,2320.0,150.0,200.0,240.0,80.0,4919.0,4041.0,358.0,2695.0,California,1.6451505016722408,TOP
1445,94021,25.0,20.0,0.0,5.0,0.0,0.0,42.0,30.0,7.0,25.0,California,1.68,TOP
1448,94027,1355.0,1000.0,20.0,105.0,200.0,30.0,2386.0,1928.0,192.0,1285.0,California,1.7608856088560885,TOP
1449,94028,1590.0,1240.0,20.0,135.0,175.0,20.0,2814.0,2334.0,241.0,1530.0,California,1.769811320754717,TOP
1825,95160,115.0,90.0,10.0,5.0,5.0,5.0,193.0,162.0,11.0,95.0,California,1.6782608695652175,TOP
1909,94904,2560.0,2035.0,80.0,180.0,195.0,70.0,4199.0,3509.0,298.0,2360.0,California,1.640234375,TOP
1914,94920,3015.0,2375.0,80.0,210.0,255.0,95.0,5082.0,4272.0,364.0,2765.0,California,1.6855721393034826,TOP
1933,94957,505.0,380.0,20.0,35.0,50.0,20.0,846.0,685.0,59.0,465.0,California,1.6752475247524752,TOP
2210,90274,6340.0,4910.0,140.0,440.0,675.0,175.0,10646.0,8867.0,747.0,5885.0,California,1.679179810725552,TOP
2337,94506,3335.0,2580.0,150.0,200.0,270.0,135.0,5542.0,4549.0,330.0,2935.0,California,1.661769115442279,TOP
2338,94507,3220.0,2525.0,85.0,180.0,325.0,105.0,5347.0,4491.0,294.0,2945.0,California,1.6605590062111801,TOP
2349,94528,260.0,210.0,5.0,10.0,25.0,10.0,436.0,376.0,17.0,240.0,California,1.676923076923077,TOP
2353,94563,3905.0,2995.0,135.0,290.0,370.0,115.0,6424.0,5286.0,477.0,3585.0,California,1.6450704225352113,TOP
296,81657,435.0,355.0,10.0,25.0,40.0,5.0,722.0,616.0,41.0,405.0,Colorado,1.6597701149425288,TOP
22,6612,1220.0,980.0,55.0,70.0,65.0,50.0,2036.0,1696.0,117.0,1080.0,Connecticut,1.6688524590163933,TOP
27,6838,65.0,50.0,5.0,5.0,5.0,0.0,112.0,90.0,11.0,60.0,Connecticut,1.7230769230769232,TOP
31,6853,565.0,450.0,15.0,25.0,55.0,20.0,987.0,842.0,46.0,515.0,Connecticut,1.7469026548672566,TOP
