,zip_code,total,retired,disabled,widowers_parents,spouses,children,amount_all_beneficiaries,amount_retired,amount_widowers,old_beneficiaries,state,amount_per_beneficiary,status
161,35223,2095.0,1550.0,70.0,180.0,225.0,70.0,3638.0,2890.0,331.0,1875.0,Alabama,1.7365155131264916,TOP
163,35226,6290.0,4730.0,470.0,410.0,310.0,370.0,9499.0,7608.0,615.0,5120.0,Alabama,1.5101748807631161,TOP
168,35238,100.0,70.0,15.0,5.0,5.0,5.0,150.0,115.0,7.0,75.0,Alabama,1.5,TOP
169,35242,8735.0,6740.0,590.0,535.0,485.0,385.0,13771.0,11269.0,846.0,7295.0,Alabama,1.576531196336577,TOP
170,35243,3560.0,2650.0,220.0,305.0,240.0,145.0,5621.0,4436.0,498.0,3035.0,Alabama,1.5789325842696629,TOP
171,35244,5220.0,3810.0,440.0,350.0,255.0,365.0,7950.0,6241.0,535.0,4110.0,Alabama,1.5229885057471264,TOP
172,35253,80.0,65.0,5.0,5.0,5.0,0.0,134.0,117.0,9.0,70.0,Alabama,1.675,TOP
191,35213,2520.0,1750.0,195.0,220.0,230.0,125.0,4099.0,3131.0,399.0,2120.0,Alabama,1.6265873015873016,TOP
715,35406,2965.0,2235.0,230.0,205.0,145.0,150.0,4497.0,3638.0,316.0,2410.0,Alabama,1.5166947723440134,TOP
22,99519,105.0,90.0,5.0,0.0,5.0,5.0,164.0,139.0,0.0,90.0,Alaska,1.561904761904762,TOP
44,99571,15.0,15.0,0.0,0.0,0.0,0.0,27.0,24.0,0.0,15.0,Alaska,1.8,TOP
204,99791,15.0,10.0,0.0,5.0,0.0,0.0,28.0,18.0,6.0,15.0,Alaska,1.8666666666666667,TOP
193,85383,7205.0,5570.0,595.0,320.0,250.0,470.0,10769.0,8809.0,472.0,5625.0,Arizona,1.4946564885496183,TOP
231,85266,3485.0,2950.0,90.0,125.0,265.0,55.0,5624.0,4965.0,216.0,3205.0,Arizona,1.6137733142037303,TOP
239,85284,3220.0,2490.0,200.0,165.0,205.0,160.0,5061.0,4189.0,253.0,2680.0,Arizona,1.5717391304347825,TOP
280,85045,750.0,575.0,50.0,45.0,35.0,45.0,1184.0,960.0,74.0,610.0,Arizona,1.5786666666666667,TOP
281,85048,3845.0,2840.0,375.0,210.0,160.0,260.0,5769.0,4532.0,302.0,2955.0,Arizona,1.5003901170351106,TOP
315,85028,4715.0,3800.0,255.0,270.0,235.0,155.0,7122.0,5991.0,410.0,4135.0,Arizona,1.5104984093319194,TOP
322,85054,885.0,705.0,70.0,55.0,35.0,20.0,1435.0,1176.0,88.0,740.0,Arizona,1.6214689265536724,TOP
338,85250,4165.0,3300.0,245.0,325.0,195.0,100.0,6291.0,5200.0,500.0,3665.0,Arizona,1.5104441776710684,TOP
341,85253,3865.0,2970.0,105.0,240.0,430.0,120.0,6533.0,5385.0,438.0,3540.0,Arizona,1.6902975420439845,TOP
342,85254,8500.0,6670.0,535.0,540.0,445.0,310.0,12980.0,10705.0,834.0,7260.0,Arizona,1.5270588235294118,TOP
343,85255,9120.0,7335.0,280.0,555.0,720.0,230.0,14863.0,12560.0,942.0,8295.0,Arizona,1.6297149122807018,TOP
344,85258,7120.0,5760.0,245.0,535.0,445.0,135.0,11259.0,9507.0,862.0,6510.0,Arizona,1.5813202247191012,TOP
